Date,FeSO4,CFeO,C,,
7/15/2022,,100,,,
7/16/2022,,200,,,
7/17/2022,,100,,,
7/19/2022,,100,,,
7/20/2022,,100,,,
7/21/2022,325,,,,
7/22/2022,,,,,
7/23/2022,325,,,,
7/24/2022,,,,,
7/25/2022,325,,,,
7/26/2022,,,,,
7/27/2022,325,,,,
7/28/2022,,,,,
7/29/2022,,,,,
7/30/2022,325,,,,
7/31/2022,,,,,
8/1/2022,325,,,,
8/2/2022,,,,,
8/3/2022,,,,,
8/4/2022,325,,,,
8/5/2022,,,,,
8/6/2022,325,,,,
8/7/2022,,,,,
8/8/2022,325,,,,
8/9/2022,,,,,
8/10/2022,,,,,
8/11/2022,325,,,,
8/12/2022,,,,,
8/13/2022,,,,,
8/14/2022,325,,,,
8/15/2022,,,,,
8/16/2022,325,,100,,
8/17/2022,,,,,
8/18/2022,325,,100,,
8/19/2022,,,,,
8/20/2022,,,,,
8/21/2022,325,,,,
8/22/2022,,,,,
8/23/2022,325,,,,
8/24/2022,,,,,
8/25/2022,,,,,
8/26/2022,325,,,,
8/27/2022,,,,,
8/28/2022,,,,,
8/29/2022,325,,200,,
8/30/2022,,,,,
8/31/2022,325,,100,,
9/1/2022,,,,,
9/2/2022,325,,,,
9/3/2022,,,,,
9/4/2022,,,,,
9/5/2022,325,,200,,
9/6/2022,,,,,
9/7/2022,325,,200,,
9/8/2022,,,,,
9/9/2022,325,,200,,
9/10/2022,,,,,
9/11/2022,,,,,
9/12/2022,325,,,,
9/13/2022,,,,,
9/14/2022,,,,,
9/15/2022,,,,,
9/16/2022,325,,300,,
9/17/2022,,,,,
9/18/2022,,,,,
9/19/2022,,,900,,
9/20/2022,325,,450,,
9/21/2022,,,250,,
9/22/2022,325,,250,,
9/23/2022,,,,,
9/24/2022,325,,250,,
9/25/2022,,,,,
9/26/2022,325,,400,,
9/27/2022,,,,,
9/28/2022,325,,1000,,
9/29/2022,,,750,,
9/30/2022,,,250,,
10/1/2022,325,,500,,
10/2/2022,,,,,
10/3/2022,325,,200,,
10/4/2022,,,,,
10/5/2022,,,,,
10/6/2022,325,,200,,
10/7/2022,,,,,
10/8/2022,,,,,
10/9/2022,,,,,
10/10/2022,,,,,
10/11/2022,,,,,
10/12/2022,,,,,
10/13/2022,325,,500,,
10/14/2022,,,,,
10/15/2022,325,,500,,
10/16/2022,,,,,
10/17/2022,,,,,
10/18/2022,,,,,
10/19/2022,325,,1500,,
10/20/2022,,,,,
10/21/2022,325,,500,,
10/22/2022,,,,,
10/23/2022,,,,,
10/24/2022,,,,,
10/25/2022,325,,500,50,
10/26/2022,,,1000,50,
10/27/2022,325,,500,50,
10/28/2022,,,,,
10/29/2022,325,,500,50,
10/30/2022,,,,,
10/31/2022,,,,,
11/1/2022,325,,200,,
11/2/2022,,,,,
11/3/2022,325,,1000,100,
11/4/2022,,,,,
11/5/2022,325,,,,
11/6/2022,,,,,
11/7/2022,,,,,
11/8/2022,325,,1500,150,
11/9/2022,,,,,
11/10/2022,325,,200,,
11/11/2022,,,,,
11/12/2022,325,,500,50,
11/13/2022,,,,,
11/14/2022,,,,,
11/15/2022,325,,,,
11/16/2022,,,,,
11/17/2022,325,,,,
11/18/2022,,,,,
11/19/2022,325,,500,50,
11/20/2022,,,,,
11/21/2022,,,,,
11/22/2022,325,,1500,150,
11/23/2022,,,,,
11/24/2022,325,,2000,200,
11/25/2022,,,,,
11/26/2022,325,,2000,200,
11/27/2022,,,,,
11/28/2022,,,,,
11/29/2022,325,,1500,150,
11/30/2022,,,,,
12/1/2022,325,,1000,100,
12/2/2022,,,,,
12/3/2022,325,,500,10,
12/4/2022,,,,,
12/5/2022,,,,,
12/6/2022,325,,500,10,
12/7/2022,,,,,
